段ボール番号,番号,店舗名,枚数,店番,郵便番号,住所,電話番号,start番号,end番号,送付ID
2,1,花畑支店,1340,101,860-0806,熊本市中央区花畑町１２－２４　　　　　　　　　　　　　,096-325-6111,9851,11190,27
2,2,健軍支店,840,107,862-0911,熊本市東区健軍３－４８－２２　　　　　　　　　　　,096-368-2161,11191,12030,28
2,3,白山通支店,430,108,862-0976,熊本市中央区九品寺５－８－２１　　　　　　　　　　,096-371-4747,12031,12460,29
2,4,益城支店,400,114,861-2233,熊本県上益城郡益城町惣領１４４０－９　　　,096-286-8181,12611,13010,31
2,5,菊南支店,320,115,861-1102,熊本県合志市須屋６７２－１　　　　　　　　　　　,096-345-1121,13011,13330,32
2,6,近見支店,290,124,861-4101,熊本市南区近見１－３－７　　　　　　　　　　　　　,096-359-2300,13331,13620,33
2,7,合志支店,280,129,861-1112,熊本県合志市幾久富１７５８-２９２　　　　　　　,096-248-8121,13621,13900,34
2,8,薄場支店,150,130,861-4131,熊本市南区薄場３－４－５　　　　　　　　　　　　　,096-358-3131,13901,14050,35
2,9,菊陽支店,210,132,869-1101,熊本県菊池郡菊陽町津久礼２９４７－２　　　　,096-233-0015,14051,14260,36
2,10,嘉島支店,330,133,861-3106,熊本県上益城郡嘉島町上島２０７８－５　,096-237-5100,14261,14590,37
2,11,八代支店,640,201,866-0844,熊本県八代市旭中央通り１７－７　　　　　　　　,0965-32-2103,14591,15230,38
2,12,山鹿支店,320,202,861-0501,熊本県山鹿市山鹿９９２－１　　　　　　　　　　　,0968-43-2108,15231,15550,39
2,13,天草支店,390,204,863-0022,熊本県天草市栄町３－７　　　　　　　　　　　　　,0969-22-5258,15551,15940,40
2,14,牛深支店,80,207,863-1901,熊本市天草市牛深町字新瀬崎７３－４　　　　　　,0969-73-2173,15941,16020,41
2,15,菊池支店,380,208,861-1331,熊本県菊池市隈府５５８－１０　　　　　　　　　　,0968-25-4161,16021,16400,42
2,16,宇土支店,380,209,869-0433,熊本県宇土市新小路町１４３－２　　　　　　,0964-22-0671,16401,16780,43
2,17,大津支店,470,211,869-1235,熊本県菊池郡大津町室２６１－７　　　　　　　,096-293-3251,16781,17250,44
2,18,阿蘇支店,240,212,869-2301,熊本県阿蘇市内牧２５８　　　　　　　　　　,0967-32-0735,17251,17490,45
2,19,鏡支店,300,213,869-4203,熊本県八代市鏡町鏡２１－１　　　　　　　　　　　,0965-52-1011,17491,17790,46
2,20,松橋支店,460,215,869-0502,熊本県宇城市松橋町松橋９６５－１　　　　　　　　　,0964-32-1010,17791,18250,47
2,21,天水支店,180,217,861-5401,熊本県玉名市天水町小天６７１８-２　　　　　　　,0968-82-2471,18251,18430,48
2,22,大矢野支店,230,219,869-3602,熊本県上天草市大矢野町上１５０３－１　　　　　　,0964-56-1301,18431,18660,49
2,23,松江通支店,250,220,866-0875,熊本県八代市横手新町２０－２　　　　　　　　　,0965-35-3303,18661,18910,50
2,24,植木支店,430,291,861-0132,熊本市北区植木町植木東２－２０５－１　　,096-272-0109,18911,19340,51
2,25,久留米支店,140,320,830-0032,福岡県久留米市東町３６－７　　　　　　　　　　,0942-33-1346,19341,19480,52
2,26,大牟田支店,160,330,836-0807,福岡県大牟田市旭町１－１－１,0944-53-3153,19481,19640,53
2,27,鹿児島支店,360,501,890-0053,鹿児島県鹿児島市中央町１３－１　　　　　　　　　　　　　,099-259-6111,19641,20000,54
